"";"X.YEAR2018";"X.YEAR2019";"X.YEAR2020";"X.YEAR2021";"X.YEAR2022";"X.YEAR2023";"X.YEAR2024";"X.YEAR2025"
"presentar";-5,481;-0,6543;-3,6016;-1,2411;-0,9477;-1,1869;5,5024;0,6067
"nuevo";16,7646;3,0127;19,0482;-0,4749;-0,9558;1,4814;-19,8904;0,5504
"aristas";0,2748;-0,0327;-0,0913;-0,2343;0,8573;-0,1856;-0,24;-0,1927
"promover";-22,6405;-3,6136;-0,258;3,3309;-4,9895;-2,0375;6,0005;0,6392
"seguir";2,1616;-1,2474;1,0369;-1,2887;0,4912;2,9922;-1,2381;-1,5014
"investigar";-2,5525;-0,4664;1,2822;0,2856;-0,4586;-0,2977;3,5679;-2,571
"pensar";5,5383;-0,586;-7,808;-16,6479;-1,2704;7,8276;-41,2513;31,6371
"discutir";0,9978;-0,6915;-1,1926;-0,4984;-0,409;4,9893;0,3275;-4,3
"aún";5,77;2,4779;3,1737;2,3587;-1,0423;0,5411;0,3639;-10,9417
"incierto";0,4362;-0,1361;0,234;-0,9764;-0,2706;2,066;-3,8364;1,8126
"índice";0,9929;-0,8086;4,6382;0,3629;-0,3029;-0,4916;0,9134;-3,0192
"2";-24,4306;-3,484;-7,9037;-3,2243;-1,5249;-0,5538;29,821;-3,4084
"introducción";-9,7756;-0,3599;-1,1281;-0,5953;-0,4871;1,3871;3,4853;-1,1668
"qué";26,0659;1,9172;-9,3896;-11,9706;1,8301;68,3217;-16,2377;-25,0746
"inteligencia";217,9434;6,8179;-1,5218;-0,3039;0,6494;21,5485;-34,4676;-82,6424
"arti";-2,1032;10,568;-0,3958;-1,8647;2,3325;-0,3346;4,8964;-5,8417
"cial";-2,477;10,1948;0,5517;-1,8321;1,9104;-0,5191;4,4447;-4,5478
"5";-13,3198;-1,4485;-0,6348;-0,8109;-1,4707;3,1277;-0,6012;3,153
"cuándo";9,1525;-0,5282;-1,4756;-0,8493;0,6557;1,1389;-1,3227;-2,165
"surgir";-0,8776;0,7374;-0,2611;-1,1836;1,1079;-0,3271;-0,5285;1,1999
"7";-6,9487;-0,2652;0,7387;-1,0871;-0,6384;-0,5769;-0,3659;4,4411
"cómo";5,372;-0,9655;-15,7664;-10,7386;4,7667;19,8652;-1,98;-5,0527
"construir";12,1048;1,4641;-1,5427;-0,6244;0,5083;1,3268;-1,6586;-3,269
"aplicación";-24,044;-2,2101;0,3625;4,1462;0,415;-2,5721;19,1377;-5,8258
"9";-1,7327;0,7927;-0,3227;-0,7924;-1,0681;-0,5868;-3,9916;10,3187
"4";-14,5137;-1,9691;-3,1225;-0,6683;-0,9942;1,9318;1,083;2,0537
"cuánto";5,3444;-0,3812;-0,5241;-1,2865;0,2852;2,3216;-1,727;-1,401
"intervenir";0,2529;-0,2668;1,5464;0,5814;0,465;0,4709;-0,672;-0,5124
"creación";-19,727;-0,3065;-0,3083;-7,7343;-3,0472;-6,6625;26,1587;-0,4881
"11";-0,7833;0,5942;-0,4362;0,6102;0,3313;-0,7829;-1,3443;2,7893
"cuál";-0,5491;0,638;-2,4609;-3,189;1,7268;12,4571;1,736;-14,9085
"verdadero";-1,3958;8,6796;-1,3095;-4,8769;-1,2156;0,337;-10,8742;17,5728
"costo";-3,4894;-0,1908;3,645;8,8925;1,404;0,5252;-5,5403;0,5967
"12";-4,3648;0,8357;-0,6228;1,2378;-0,249;-1,703;-4,5121;12,8577
"6";-9,9923;-1,0586;-0,5713;1,4448;-1,0175;-1,4513;-0,5558;7,1855
"16";-3,4024;0,2618;0,7466;5,0735;-2,4841;-1,8315;-0,4584;1,6263
"correcto";0,2885;-0,2309;0,3276;-3,0642;-0,2933;1,7462;-1,0569;0,7994
"equivocar";1,3789;-0,1443;-0,4031;-1,035;-0,2868;2,5712;-1,4504;-0,397
"nunca";13,4155;-0,4253;-2,5709;-1,7549;0,3898;0,9781;-7,9309;1,4068
"resultado";-6,6509;-0,2551;-6,786;-6,2735;2,5163;-6,5832;5,8019;5,0473
"justo";-0,4511;-0,3213;0,2707;-1,8229;2,0516;1,079;2,7549;-4,9362
"20";-0,4509;-0,4439;2,1678;0,603;-0,6322;2,9257;-1,6101;-0,8211
"8";-8,785;-0,6726;-1,0552;-3,5486;-1,2444;0,6704;3,201;0,8237
"afectar";0,4076;-1,6473;-0,7548;1,9077;0,6545;0,8052;0,3203;-1,5498
"diversidad";-6,9084;-1,3831;-2,8651;3,1841;-0,3991;-1,5208;5,8584;-1,3705
"cultural";-7,0504;0,5837;-1,6837;-0,2707;-1,1347;-0,6557;0,6385;3,0746
"capacidad";0,8778;4,5093;0,6249;-0,4817;0,6596;-1,1665;0,5378;-0,8055
"computadora";-1,5403;0,2968;-0,5198;1,1541;13,1265;13,0264;-1,1241;-14,9602
"generar";-48,1531;1,9156;-5,2295;-21,2053;-2,7404;-0,3536;20,6886;1,1597
"contenido";-33,447;-2,093;-13,4415;-1,4535;-1,7247;-15,7136;40,7415;0,4248
"digital";-52,6638;-1,25;-1,0047;-4,1596;9,8482;-29,7432;24,9205;7,2381
"24";-2,8612;-0,2383;-1,4048;-0,3992;-0,5099;0,5835;-0,9373;3,1833
"recomendable";-1,0966;-0,1089;0,2978;-0,7811;0,4061;0,4062;-1,881;3,1868
"usar";31,788;1,8267;-10,9462;-4,9261;-0,36;17,6042;-6,2852;-11,3717
"generativa";-51,9684;-5,1609;-14,4182;-33,43;-10,2585;-9,3351;20,8415;15,2854
"programar";-0,5051;0,9668;-0,7652;-0,2322;0,7147;2,5182;-0,8;-0,8962
"30";2,0048;-0,6561;1,5087;0,4407;-0,7386;-0,3359;-0,9116;-0,3705
"deber";0,3464;-0,372;0,7428;-5,3648;-2,5584;1,0364;-4,7815;8,6333
"hacer";69,733;8,3779;-6,0668;-6,2323;1,0832;35,9978;-8,9574;-48,9703
"escuela";-7,7464;-1,3243;3,0607;-1,8858;10,7251;4,2491;-14,9607;9,5185
"ante";-2,6884;-1,4294;-0,2424;-2,1157;0,3241;-1,6042;0,9805;2,948
"32";-0,797;-0,2092;0,5108;0,3412;0,3108;-0,557;-2,6445;4,4064
"conclusión";-0,7185;-0,5011;-2,5081;-1,0292;0,2605;0,5163;-0,4201;1,5787
"36";0,561;-0,5173;0,3768;-0,5749;-0,499;-0,8384;-1,117;2,655
"bibliografía";-1,0319;-0,2369;-0,6617;-0,5879;-0,1505;-0,4775;2,0101;-0,4354
"37";-0,5714;-0,5663;-0,9123;0,3643;-0,5683;-0,9577;-0,2777;1,8482
"formar";-0,8099;0,3575;0,8121;-1,9869;-0,3073;-0,4135;-3,7858;7,7246
"parte";3,8313;-0,5433;5,9922;2,8519;-0,9831;-3,1688;-1,2012;-0,3565
"todo";30,0944;0,3299;0,3892;1,2682;1,8097;9,5249;-9,003;-12,6352
"grande";34,0743;3,7758;11,2185;-1,8033;0,8636;1,5193;-3,3377;-14,7481
"ejemplo";5,3231;2,3049;0,288;5,7427;3,4706;5,4599;2,481;-44,869
"estar";72,9129;0,6792;0,5753;0,3557;2,2333;16,1146;-17,3325;-24,3165
"presente";-4,9078;1,1547;-1,1627;-1,9819;0,3852;0,4514;-0,2901;2,5728
"funcionamiento";-1,8129;-0,2081;-0,8652;-1,5961;1,1189;-0,536;0,7966;1,0609
"él";25,0177;-0,9947;-1,3358;-21,3849;-0,2967;7,8105;-2,9542;-2,5607
"creativo";-2,6155;-0,48;-4,41;-7,8844;-2,2349;3,1601;0,7585;1,0797
"imagen";-13,014;1,3006;-4,4808;-1,0241;0,5253;-0,3546;26,5206;-13,7739
"red";45,3754;5,3667;-2,6082;1,906;-1,994;-0,9886;-37,3548;7,8105
"social";-0,2933;0,7361;0,8386;-1,1886;-1,0917;-13,8594;-2,2213;21,3097
"plataforma";-19,3867;-1,3964;1,7384;0,7049;-5,0867;-2,2863;1,7968;4,5668
"transmisión";0,4289;-0,2614;-0,7302;-0,233;-0,5195;-1,1165;-1,74;4,6059
"contener";-10,0392;-0,7515;-6,7186;-0,5798;0,2895;-1,9161;-3,1877;24,0852
"modelo";-7,873;7,8391;-7,3495;-14,3549;-0,8582;-12,6532;47,8501;-4,4271
"análisis";-2,3823;-1,8287;-1,0372;-7,5399;2,6774;-11,5094;10,768;1,5966
"riesgo";-4,7997;-1,2721;4,8235;0,4229;-0,2938;-7,641;-0,8752;10,7485
"bancario";0,2416;-0,0844;-0,2358;0,812;-0,1678;1,4906;-2,3287;0,6226
"utilizar";-15,643;1,5832;-9,8543;-1,1384;8,9222;10,29;2,7101;-5,775
"otorgar";-0,5186;1,6563;2,858;-1,8552;-0,5141;-0,5212;0,4136;0,2705
"rechazar";0,3944;-0,1851;-0,1745;0,4554;-0,368;0,5432;-0,3852;-0,3604
"crédito";3,876;-0,275;-0,3235;1,1123;-0,5466;0,5277;-0,9772;-1,2927
"aquel";0,5076;-0,2959;0,649;-3,8006;-0,7249;5,3271;-2,4005;0,4108
"reconocimiento";-1,7637;1,2768;1,5748;10,695;1,4347;2,8168;0,3131;-13,267
"facial";-1,7492;0,2185;0,9336;18,1618;-0,3452;1,9167;-4,1826;-2,7951
"estado";8,5659;0,775;9,8606;7,9613;-0,8489;-0,8319;0,6067;-19,937
"control";14,3933;-1,3015;-0,5591;-1,9446;-0,8045;0,4217;-1,0376;-1,574
