"";"X.YEAR2018";"X.YEAR2019";"X.YEAR2020";"X.YEAR2021";"X.YEAR2022";"X.YEAR2023";"X.YEAR2024";"X.YEAR2025"
"elegir";0,05;0;0,06;0,09;0,27;0,19;0,11;0,1
"buscar";0,84;0,78;0,56;0,46;0,57;0,71;0,79;0,8
"dar";1,42;0,96;2,34;0,98;1,51;1,1;1,16;1,12
"cerrado";0,02;0,06;0;0,02;0;0,02;0,03;0,01
"asunto";0,05;0;0,04;0,1;0;0,03;0,03;0,04
"presentar";0,35;0,42;0,24;0,48;0,42;0,55;0,67;0,61
"nuevo";2,44;2,63;3,49;1,52;1,3;1,67;1,32;1,6
"aristas";0,01;0;0;0;0,03;0;0;0
"promover";0,07;0;0,49;0,72;0,06;0,43;0,57;0,51
"seguir";0,68;0,24;0,69;0,42;0,6;0,63;0,51;0,49
"investigar";0,06;0,06;0,24;0,14;0,09;0,13;0,16;0,1
"pensar";0,77;0,36;0,04;0,07;0,3;0,68;0,3;0,8
"discutir";0,13;0;0,02;0,08;0,06;0,15;0,1;0,06
"aún";0,44;0,66;0,52;0,37;0,12;0,26;0,25;0,14
"incierto";0,02;0;0,02;0;0;0,03;0,01;0,03
"índice";0,15;0;0,37;0,12;0,09;0,1;0,12;0,08
"2";0,92;0,84;0,88;1,5;1,45;1,86;2,25;1,74
"introducción";0,04;0,18;0,13;0,2;0,18;0,28;0,28;0,21
"qué";2,16;1,85;0,34;0,56;1,63;2,06;0,99;0,82
"inteligencia";4,61;2,87;0,93;1,22;1,39;1,7;0,93;0,57
"arti";0,4;2,09;0,49;0,39;0,9;0,53;0,6;0,42
"cial";0,4;2,09;0,62;0,41;0,87;0,54;0,62;0,45
"5";0,47;0,54;0,86;0,88;0,66;1,11;0,96;1,08
"cuándo";0,23;0;0;0,04;0,12;0,09;0,06;0,05
"surgir";0,14;0,3;0,17;0,12;0,3;0,18;0,17;0,2
"7";0,24;0,48;0,6;0,41;0,39;0,48;0,5;0,6
"cómo";2,05;1,2;0,34;0,9;2,59;2,11;1,54;1,42
"construir";0,64;0,6;0,15;0,26;0,36;0,34;0,28;0,24
"aplicación";0,43;0,54;1,2;1,56;1,24;1,04;1,39;1,01
"9";0,27;0,54;0,34;0,31;0,21;0,35;0,31;0,5
"4";0,72;0,72;0,84;1,27;1,09;1,47;1,39;1,45
"cuánto";0,15;0;0,02;0,02;0,06;0,08;0,04;0,04
"intervenir";0,04;0;0,11;0,05;0,06;0,04;0,03;0,03
"creación";0,16;0,6;0,62;0,28;0,24;0,48;0,83;0,63
"11";0,21;0,36;0,22;0,29;0,27;0,23;0,23;0,3
"cuál";0,22;0,36;0,06;0,11;0,45;0,41;0,27;0,12
"verdadero";0,09;0,96;0,04;0,02;0,03;0,14;0,08;0,25
"costo";0,01;0,06;0,26;0,26;0,18;0,08;0,05;0,08
"12";0,15;0,48;0,24;0,39;0,3;0,26;0,26;0,45
"6";0,29;0,36;0,56;0,78;0,45;0,58;0,63;0,79
"16";0,07;0,18;0,24;0,36;0;0,13;0,17;0,2
"correcto";0,14;0,12;0,15;0,04;0,12;0,17;0,13;0,15
"equivocar";0,04;0;0;0;0;0,04;0,01;0,02
"nunca";0,37;0,06;0;0,06;0,15;0,15;0,08;0,15
